|positive|,|@PrincessSuperC Hey Cici sweetheart! Just wanted to let u know I luv u! OH! and will the mixtape drop soon? FANTASY RIDE MAY 5TH!!!!|
|positive|,|@Msdebramaye I heard about that contest! Congrats girl!!|
|positive|,|UNC!!! NCAA Champs!! Franklin St.: I WAS THERE!! WILD AND CRAZY!!!!!! Nothing like it...EVER http://tinyurl.com/49955t3|
"positive","the rock is destined to be the 21st century's new "" conan "" and that he's going to make a splash even greater than arnold schwarz"
"positive","the gorgeously elaborate continuation of "" the lord of the rings "" trilogy is so huge that a column of words cannot adequately de"
"positive","effective but too-tepid biopic"
"positive","if you sometimes like to go to the movies to have fun , wasabi is a good place to start ."
"positive","emerges as something rare , an issue movie that's so honest and keenly observed that it doesn't feel like one ."
"positive","the film provides some great insight into the neurotic mindset of all comics -- even those who have reached the absolute top of the"
"positive","offers that rare combination of entertainment and education ."
"positive","perhaps no picture ever made has more literally showed that the road to hell is paved with good intentions ."
"positive","steers turns in a snappy screenplay that curls at the edges ; it's so clever you want to hate it . but he somehow pulls it off ."
"positive","take care of my cat offers a refreshingly different slice of asian cinema ."
"positive","this is a film well worth seeing , talking and singing heads and all ."
"positive","what really surprises about wisegirls is its low-key quality and genuine tenderness ."
"positive","( wendigo is ) why we go to the cinema : to be fed through the eye , the heart , the mind ."
"positive","one of the greatest family-oriented , fantasy-adventure movies ever ."
"positive","ultimately , it ponders the reasons we need stories so much ."
"positive","an utterly compelling 'who wrote it' in which the reputation of the most famous author who ever lived comes into question ."
"positive","illuminating if overly talky documentary ."
"positive","a masterpiece four years in the making ."
"positive","the movie's ripe , enrapturing beauty will tempt those willing to probe its inscrutable mysteries ."
"positive","offers a breath of the fresh air of true sophistication ."
"positive","a thoughtful , provocative , insistently humanizing film ."
"positive","with a cast that includes some of the top actors working in independent film , lovely & amazing involves us because it is so incisi"
"positive","a disturbing and frighteningly evocative assembly of imagery and hypnotic music composed by philip glass ."
"positive","not for everyone , but for those with whom it will connect , it's a nice departure from standard moviegoing fare ."
"positive","scores a few points for doing what it does with a dedicated and good-hearted professionalism ."
"positive","occasionally melodramatic , it's also extremely effective ."
"positive","spiderman rocks"
"positive","an idealistic love story that brings out the latent 15-year-old romantic in everyone ."
"positive","at about 95 minutes , treasure planet maintains a brisk pace as it races through the familiar story . however , it lacks grandeur a"
"positive","it helps that lil bow wow . . . tones down his pint-sized gangsta act to play someone who resembles a real kid ."
"positive","guaranteed to move anyone who ever shook , rattled , or rolled ."
"positive","a masterful film from a master filmmaker , unique in its deceptive grimness , compelling in its fatalist worldview ."
"positive","light , cute and forgettable ."
"positive","if there's a way to effectively teach kids about the dangers of drugs , i think it's in projects like the ( unfortunately r-rated )"
"positive","while it would be easy to give crush the new title of two weddings and a funeral , it's a far more thoughtful film than any slice o"
"positive","though everything might be literate and smart , it never took off and always seemed static ."
|neutral|,|Do you Share More #jokes #quotes #music #photos or #news #articles on #Facebook or #Twitter?|
|neutral|,|Good night #Twitter and #TheLegionoftheFallen.  5:45am cimes awfully early!|
|neutral|,|I just finished a 2.66 mi run with a pace of 11'14"/mi with Nike+ GPS. #nikeplus #makeitcount|
|negative|,|Disappointing day. Attended a car boot sale to raise some funds for the sanctuary, made a total of 88p after the entry fee - sigh|
|negative|,|no more taking Irish car bombs with strange Australian women who can drink like rockstars...my head hurts.|
|negative|,|Just had some bloodwork done. My arm hurts|
"negative","@switchfoot http://twitpic.com/2y1zl - Awww, that's a bummer.  You shoulda got David Carr of Third Day to do i"
"negative","is upset that he can't update his Facebook by texting it... and might cry as a result  School today also. Blah"
"negative","@Kenichan I dived many times for the ball. Managed to save 50%  The rest go out of bounds"
"negative","my whole body feels itchy and like its on fire "
"negative","@nationwideclass no, it's not behaving at all. i'm mad. why am i here? because I can't see you all over there."
"negative","@Kwesidei not the whole crew "
"negative","Need a hug "
"negative","@LOLTrish hey  long time no see! Yes.. Rains a bit ,only a bit  LOL , I'm fine thanks , how's you ?"
"negative","@Tatiana_K nope they didn't have it "
"negative","@twittera que me muera ? "
"negative","spring break in plain city... it's snowing "
"negative","I just re-pierced my ears "
"negative","@caregiving I couldn't bear to watch it.  And I thought the UA loss was embarrassing . . . . ."
"negative","@octolinz16 It it counts, idk why I did either. you never talk to me anymore "
"negative","@smarrison i would've been the first, but i didn't have a gun.    not really though, zac snyder's just a douch"
"negative","@iamjazzyfizzle I wish I got to watch it with you!! I miss you and @iamlilnicki  how was the premiere?!"
"negative","Hollis' death scene will hurt me severely to watch on film  wry is directors cut not out now?"
"negative","about to file taxes "
"negative","@LettyA ahh ive always wanted to see rent  love the soundtrack!!"
"negative","@FakerPattyPattz Oh dear. Were you drinking out of the forgotten table drinks? "
"negative","@alydesigns i was out most of the day so didn't get much done "
"negative","one of my friend called me, and asked to meet with her at Mid Valley today...but i've no time *sigh* "
"negative","@angry_barista I baked you a cake but I ated it "
"negative","this week is not going as i had hoped "
"negative","blagh class at 8 tomorrow "
"negative","I hate when I have to call and wake people up "
"negative","Just going to cry myself to sleep after watching Marley and Me.  "
"negative","im sad now  Miss.Lilly"
"negative","ooooh.... LOL  that leslie.... and ok I won't do it again so leslie won't  get mad again "
"negative","Meh... Almost Lover is the exception... this track gets me depressed every time. "
"negative","some1 hacked my account on aim  now i have to make a new one"
"negative","@alielayus I want to go to promote GEAR AND GROOVE but unfornately no ride there  I may b going to the one in "
"negative","thought sleeping in was an option tomorrow but realizing that it now is not. evaluations in the morning and wo"
"negative","@julieebaby awe i love you too!!!! 1 am here  i miss you"
